input_length,proof_mul,proof_add,verify_mul,verify_add
0,7,33,14,37
1,11,37,16,39
2,25,69,22,63
3,47,127,30,107
4,51,131,32,109
5,89,241,44,193
6,93,245,46,195
7,97,249,48,197
8,101,253,50,199
9,171,467,70,363
10,175,471,72,365
11,179,475,74,367
12,183,479,76,369
13,187,483,78,371
14,191,487,80,373
15,195,491,82,375
16,199,495,84,377
17,333,917,120,701
18,337,921,122,703
19,341,925,124,705
20,345,929,126,707
21,349,933,128,709
22,353,937,130,711
23,357,941,132,713
24,361,945,134,715
25,365,949,136,717
26,369,953,138,719
27,373,957,140,721
28,377,961,142,723
29,381,965,144,725
30,385,969,146,727
31,389,973,148,729
32,393,977,150,731
33,655,1815,218,1375
34,659,1819,220,1377
35,663,1823,222,1379
36,667,1827,224,1381
37,671,1831,226,1383
38,675,1835,228,1385
39,679,1839,230,1387
40,683,1843,232,1389
41,687,1847,234,1391
42,691,1851,236,1393
43,695,1855,238,1395
44,699,1859,240,1397
45,703,1863,242,1399
46,707,1867,244,1401
47,711,1871,246,1403
48,715,1875,248,1405
49,719,1879,250,1407
50,723,1883,252,1409
51,727,1887,254,1411
52,731,1891,256,1413
53,735,1895,258,1415
54,739,1899,260,1417
55,743,1903,262,1419
56,747,1907,264,1421
57,751,1911,266,1423
58,755,1915,268,1425
59,759,1919,270,1427
60,763,1923,272,1429
61,767,1927,274,1431
62,771,1931,276,1433
63,775,1935,278,1435
64,779,1939,280,1437
65,1297,3609,412,2721
66,1301,3613,414,2723
67,1305,3617,416,2725
68,1309,3621,418,2727
69,1313,3625,420,2729
70,1317,3629,422,2731
71,1321,3633,424,2733
72,1325,3637,426,2735
73,1329,3641,428,2737
74,1333,3645,430,2739
75,1337,3649,432,2741
76,1341,3653,434,2743
77,1345,3657,436,2745
78,1349,3661,438,2747
79,1353,3665,440,2749
80,1357,3669,442,2751
81,1361,3673,444,2753
82,1365,3677,446,2755
83,1369,3681,448,2757
84,1373,3685,450,2759
85,1377,3689,452,2761
86,1381,3693,454,2763
87,1385,3697,456,2765
88,1389,3701,458,2767
89,1393,3705,460,2769
90,1397,3709,462,2771
91,1401,3713,464,2773
92,1405,3717,466,2775
93,1409,3721,468,2777
94,1413,3725,470,2779
95,1417,3729,472,2781
96,1421,3733,474,2783
97,1425,3737,476,2785
98,1429,3741,478,2787
99,1433,3745,480,2789
100,1437,3749,482,2791
101,1441,3753,484,2793
102,1445,3757,486,2795
103,1449,3761,488,2797
104,1453,3765,490,2799
105,1457,3769,492,2801
106,1461,3773,494,2803
107,1465,3777,496,2805
108,1469,3781,498,2807
109,1473,3785,500,2809
110,1477,3789,502,2811
111,1481,3793,504,2813
112,1485,3797,506,2815
113,1489,3801,508,2817
114,1493,3805,510,2819
115,1497,3809,512,2821
116,1501,3813,514,2823
117,1505,3817,516,2825
118,1509,3821,518,2827
119,1513,3825,520,2829
120,1517,3829,522,2831
121,1521,3833,524,2833
122,1525,3837,526,2835
123,1529,3841,528,2837
124,1533,3845,530,2839
125,1537,3849,532,2841
126,1541,3853,534,2843
127,1545,3857,536,2845
128,1549,3861,538,2847
129,2579,7195,798,5411
130,2583,7199,800,5413
131,2587,7203,802,5415
132,2591,7207,804,5417
133,2595,7211,806,5419
134,2599,7215,808,5421
135,2603,7219,810,5423
136,2607,7223,812,5425
137,2611,7227,814,5427
138,2615,7231,816,5429
139,2619,7235,818,5431
140,2623,7239,820,5433
141,2627,7243,822,5435
142,2631,7247,824,5437
143,2635,7251,826,5439
144,2639,7255,828,5441
145,2643,7259,830,5443
146,2647,7263,832,5445
147,2651,7267,834,5447
148,2655,7271,836,5449
149,2659,7275,838,5451
150,2663,7279,840,5453
151,2667,7283,842,5455
152,2671,7287,844,5457
153,2675,7291,846,5459
154,2679,7295,848,5461
155,2683,7299,850,5463
156,2687,7303,852,5465
157,2691,7307,854,5467
158,2695,7311,856,5469
159,2699,7315,858,5471
160,2703,7319,860,5473
161,2707,7323,862,5475
162,2711,7327,864,5477
163,2715,7331,866,5479
164,2719,7335,868,5481
165,2723,7339,870,5483
166,2727,7343,872,5485
167,2731,7347,874,5487
168,2735,7351,876,5489
169,2739,7355,878,5491
170,2743,7359,880,5493
171,2747,7363,882,5495
172,2751,7367,884,5497
173,2755,7371,886,5499
174,2759,7375,888,5501
175,2763,7379,890,5503
176,2767,7383,892,5505
177,2771,7387,894,5507
178,2775,7391,896,5509
179,2779,7395,898,5511
180,2783,7399,900,5513
181,2787,7403,902,5515
182,2791,7407,904,5517
183,2795,7411,906,5519
184,2799,7415,908,5521
185,2803,7419,910,5523
186,2807,7423,912,5525
187,2811,7427,914,5527
188,2815,7431,916,5529
189,2819,7435,918,5531
190,2823,7439,920,5533
191,2827,7443,922,5535
192,2831,7447,924,5537
193,2835,7451,926,5539
194,2839,7455,928,5541
195,2843,7459,930,5543
196,2847,7463,932,5545
197,2851,7467,934,5547
198,2855,7471,936,5549
199,2859,7475,938,5551
200,2863,7479,940,5553
201,2867,7483,942,5555
202,2871,7487,944,5557
203,2875,7491,946,5559
204,2879,7495,948,5561
205,2883,7499,950,5563
206,2887,7503,952,5565
207,2891,7507,954,5567
208,2895,7511,956,5569
209,2899,7515,958,5571
210,2903,7519,960,5573
211,2907,7523,962,5575
212,2911,7527,964,5577
213,2915,7531,966,5579
214,2919,7535,968,5581
215,2923,7539,970,5583
216,2927,7543,972,5585
217,2931,7547,974,5587
218,2935,7551,976,5589
219,2939,7555,978,5591
220,2943,7559,980,5593
221,2947,7563,982,5595
222,2951,7567,984,5597
223,2955,7571,986,5599
224,2959,7575,988,5601
225,2963,7579,990,5603
226,2967,7583,992,5605
227,2971,7587,994,5607
228,2975,7591,996,5609
229,2979,7595,998,5611
230,2983,7599,1000,5613
231,2987,7603,1002,5615
232,2991,7607,1004,5617
233,2995,7611,1006,5619
234,2999,7615,1008,5621
235,3003,7619,1010,5623
236,3007,7623,1012,5625
237,3011,7627,1014,5627
238,3015,7631,1016,5629
239,3019,7635,1018,5631
240,3023,7639,1020,5633
241,3027,7643,1022,5635
242,3031,7647,1024,5637
243,3035,7651,1026,5639
244,3039,7655,1028,5641
245,3043,7659,1030,5643
246,3047,7663,1032,5645
247,3051,7667,1034,5647
248,3055,7671,1036,5649
249,3059,7675,1038,5651
250,3063,7679,1040,5653
251,3067,7683,1042,5655
252,3071,7687,1044,5657
253,3075,7691,1046,5659
254,3079,7695,1048,5661
255,3083,7699,1050,5663
256,3087,7703,1052,5665
257,5141,14365,1568,10789
258,5145,14369,1570,10791
259,5149,14373,1572,10793
260,5153,14377,1574,10795
261,5157,14381,1576,10797
262,5161,14385,1578,10799
263,5165,14389,1580,10801
264,5169,14393,1582,10803
265,5173,14397,1584,10805
266,5177,14401,1586,10807
267,5181,14405,1588,10809
268,5185,14409,1590,10811
269,5189,14413,1592,10813
270,5193,14417,1594,10815
271,5197,14421,1596,10817
272,5201,14425,1598,10819
273,5205,14429,1600,10821
274,5209,14433,1602,10823
275,5213,14437,1604,10825
276,5217,14441,1606,10827
277,5221,14445,1608,10829
278,5225,14449,1610,10831
279,5229,14453,1612,10833
280,5233,14457,1614,10835
281,5237,14461,1616,10837
282,5241,14465,1618,10839
283,5245,14469,1620,10841
284,5249,14473,1622,10843
285,5253,14477,1624,10845
286,5257,14481,1626,10847
287,5261,14485,1628,10849
288,5265,14489,1630,10851
289,5269,14493,1632,10853
290,5273,14497,1634,10855
291,5277,14501,1636,10857
292,5281,14505,1638,10859
293,5285,14509,1640,10861
294,5289,14513,1642,10863
295,5293,14517,1644,10865
296,5297,14521,1646,10867
297,5301,14525,1648,10869
298,5305,14529,1650,10871
299,5309,14533,1652,10873
300,5313,14537,1654,10875
301,5317,14541,1656,10877
302,5321,14545,1658,10879
303,5325,14549,1660,10881
304,5329,14553,1662,10883
305,5333,14557,1664,10885
306,5337,14561,1666,10887
307,5341,14565,1668,10889
308,5345,14569,1670,10891
309,5349,14573,1672,10893
310,5353,14577,1674,10895
